StateName,StateCode,DistrictName,DistrictCode,SubDistrictName,SubDistrictCode,Constituency,VillageName,VillageCode,Year,Month,Count,Min,Max,Mean,Median
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2011,11,24,-3.3918,5.5816,-0.1420,-0.1990
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2011,12,29,-4.5895,3.3409,-0.9970,-0.7216
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2012,1,29,-4.1900,5.4565,-0.6334,-0.6782
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2012,2,25,-7.5667,3.1512,-1.9085,-1.5806
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2012,3,20,-3.4512,13.7971,1.7329,-0.4360
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2012,4,15,-2.6596,4.6667,0.4577,0.0870
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2012,8,3,-4.5122,19.9583,7.6683,7.5588
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2012,9,15,-3.6667,3.1687,-0.4621,-0.8136
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2012,10,26,-6.5833,7.9211,-0.4082,-1.4428
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2012,11,28,-6.2500,7.5714,-0.8905,-1.8497
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2012,12,31,-8.3571,4.3367,-1.6041,-1.5000
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2013,1,30,-6.1600,4.5521,-1.1378,-1.1608
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2013,2,22,-8.1882,1.1392,-2.2573,-2.1745
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2013,3,20,-7.0161,7.9828,0.8697,-0.1432
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2013,4,12,-9.4400,2.4746,-2.1537,-1.8368
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2013,9,15,-3.7949,9.4828,-0.7095,-1.0000
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2013,10,21,-4.6032,8.0968,-0.0676,-1.0375
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2013,11,29,-8.6868,3.8864,-1.4542,-2.0886
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Singalila Forest ,00000100,2013,12,27,-3.3980,13.7041,0.5653,-0.6939
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2008,1,25,-7.3529,6.1765,1.0533,1.3111
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2008,2,26,-8.9420,10.7125,-0.1615,0.4376
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2008,3,18,-6.1864,12.0000,0.7486,0.1433
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2008,4,5,-1.8889,1.0417,-0.3947,-0.4138
WEST BENGAL ,19,Darjiling ,01,Darjeeling Pulbazar ,0001,,Rimbick ,00000200,2008,9,4,-4.8571,1.5000,-1.2379,-0.7973
